Crop,Day,Water_Requirement,Motor_Run_Time
Rice,69.0,11.067,11.067
Rice,70.0,11.106666666666667,11.106666666666667
Rice,71.0,11.146333333333335,11.146333333333335
Rice,72.0,11.186000000000002,11.186000000000002
Rice,73.0,11.225666666666669,11.225666666666669
Rice,74.0,11.265333333333334,11.265333333333334
Rice,75.0,11.305000000000001,11.305000000000001
Rice,76.0,11.344666666666669,11.344666666666669
Rice,77.0,11.384333333333334,11.384333333333334
Rice,78.0,11.424000000000001,11.424000000000001
Rice,79.0,11.463666666666667,11.463666666666667
Rice,80.0,11.503333333333334,11.503333333333334
Rice,81.0,11.543000000000001,11.543000000000001
Rice,82.0,11.582666666666666,11.582666666666666
Rice,83.0,11.622333333333334,11.622333333333334
Rice,84.0,11.662,11.662
Rice,85.0,11.701666666666666,11.701666666666666
Rice,86.0,11.741333333333333,11.741333333333333
Rice,87.0,11.781,11.781
Rice,88.0,11.820666666666668,11.820666666666668
Rice,89.0,11.860333333333335,11.860333333333335
Rice,90.0,11.9,11.9
Rice,91.0,11.939666666666668,11.939666666666668
Rice,92.0,11.979333333333335,11.979333333333335
Rice,93.0,12.019,12.019
Rice,94.0,12.058666666666667,12.058666666666667
Rice,95.0,12.098333333333333,12.098333333333333
Rice,96.0,12.138000000000002,12.138000000000002
Rice,97.0,12.177666666666669,12.177666666666669
Rice,98.0,12.217333333333334,12.217333333333334
Rice,99.0,12.257000000000001,12.257000000000001
Rice,100.0,12.296666666666669,12.296666666666669
Rice,101.0,12.336333333333334,12.336333333333334
Rice,102.0,12.376000000000001,12.376000000000001
Rice,103.0,12.415666666666668,12.415666666666668
Rice,104.0,12.455333333333336,12.455333333333336
Rice,105.0,12.495000000000001,12.495000000000001
Rice,106.0,12.534666666666666,12.534666666666666
Rice,107.0,12.574333333333334,12.574333333333334
Rice,108.0,12.614,12.614
Rice,109.0,12.653666666666666,12.653666666666666
Rice,110.0,12.693333333333333,12.693333333333333
Rice,111.0,12.733,12.733
Rice,112.0,12.772666666666668,12.772666666666668
Rice,113.0,12.812333333333333,12.812333333333333
Rice,114.0,12.851999999999999,12.851999999999999
Rice,115.0,12.89166666666667,12.89166666666667
Rice,116.0,12.931333333333335,12.931333333333335
Rice,117.0,12.971,12.971
Rice,118.0,13.010666666666667,13.010666666666667
Rice,119.0,13.050333333333334,13.050333333333334
Rice,120.0,13.090000000000002,13.090000000000002
Rice,121.0,13.129666666666667,13.129666666666667
Rice,122.0,13.169333333333334,13.169333333333334
Rice,123.0,13.209000000000003,13.209000000000003
Rice,124.0,13.248666666666669,13.248666666666669
Rice,125.0,13.288333333333334,13.288333333333334
Rice,126.0,13.328000000000001,13.328000000000001
Rice,127.0,13.367666666666668,13.367666666666668
Rice,128.0,13.407333333333336,13.407333333333336
Rice,129.0,13.447000000000001,13.447000000000001
Rice,130.0,13.486666666666666,13.486666666666666
Rice,131.0,13.526333333333335,13.526333333333335
Rice,132.0,13.566,13.566
Rice,133.0,13.605666666666668,13.605666666666668
Rice,134.0,13.645333333333333,13.645333333333333
Rice,135.0,13.685,13.685
Rice,136.0,13.724666666666668,13.724666666666668
Rice,137.0,13.764333333333333,13.764333333333333
Rice,138.0,13.803999999999998,13.803999999999998
Rice,139.0,13.843666666666667,13.843666666666667
Rice,140.0,13.883333333333333,13.883333333333333
Rice,141.0,13.923,13.923
Rice,142.0,13.962666666666669,13.962666666666669
Rice,143.0,14.002333333333334,14.002333333333334
Rice,144.0,14.042000000000002,14.042000000000002
Rice,145.0,14.081666666666667,14.081666666666667
Rice,146.0,14.121333333333334,14.121333333333334
Rice,147.0,14.161000000000001,14.161000000000001
Rice,148.0,14.200666666666669,14.200666666666669
Rice,149.0,14.240333333333336,14.240333333333336
Rice,150.0,14.280000000000003,14.280000000000003
Rice,151.0,14.319666666666668,14.319666666666668
Rice,152.0,14.359333333333336,14.359333333333336
Rice,153.0,14.399000000000001,14.399000000000001
Rice,154.0,14.438666666666668,14.438666666666668
Rice,155.0,14.478333333333335,14.478333333333335
Rice,156.0,14.518,14.518
Rice,157.0,14.557666666666668,14.557666666666668
Rice,158.0,14.597333333333335,14.597333333333335
Rice,159.0,14.637,14.637
Rice,160.0,14.676666666666668,14.676666666666668
Rice,161.0,14.716333333333333,14.716333333333333
Rice,162.0,14.756,14.756
Rice,163.0,14.795666666666667,14.795666666666667
Rice,164.0,14.835333333333333,14.835333333333333
Rice,165.0,14.875,14.875
Rice,166.0,14.914666666666667,14.914666666666667
Rice,167.0,14.954333333333333,14.954333333333333
Rice,168.0,14.994000000000002,14.994000000000002
Rice,169.0,15.033666666666667,15.033666666666667
Rice,170.0,15.073333333333334,15.073333333333334
Rice,171.0,15.113000000000001,15.113000000000001
Rice,172.0,15.152666666666667,15.152666666666667
Rice,173.0,15.192333333333334,15.192333333333334
Rice,174.0,15.232000000000001,15.232000000000001
Rice,175.0,15.271666666666668,15.271666666666668
Rice,176.0,15.311333333333337,15.311333333333337
Rice,177.0,15.351,15.351
Rice,178.0,15.390666666666668,15.390666666666668
Rice,179.0,15.430333333333337,15.430333333333337
Rice,180.0,15.47,15.47
Rice,181.0,15.50966666666667,15.50966666666667
Rice,182.0,15.549333333333333,15.549333333333333
Rice,183.0,15.589,15.589
Rice,184.0,15.62866666666667,15.62866666666667
Rice,185.0,15.668333333333333,15.668333333333333
Rice,186.0,15.708000000000002,15.708000000000002
Rice,187.0,15.74766666666667,15.74766666666667
Rice,188.0,15.787333333333333,15.787333333333333
Rice,189.0,15.827000000000002,15.827000000000002
Rice,190.0,15.866666666666665,15.866666666666665
Rice,191.0,15.906333333333333,15.906333333333333
Rice,192.0,15.946000000000002,15.946000000000002
Rice,193.0,15.985666666666665,15.985666666666665
Rice,194.0,16.025333333333332,16.025333333333332
Rice,195.0,16.065,16.065
Rice,196.0,16.10466666666667,16.10466666666667
Rice,197.0,16.144333333333332,16.144333333333332
Rice,198.0,16.184,16.184
Rice,199.0,16.22366666666667,16.22366666666667
Rice,200.0,16.263333333333332,16.263333333333332
Rice,201.0,16.303,16.303
Rice,202.0,16.34266666666667,16.34266666666667
Rice,203.0,16.382333333333335,16.382333333333335
Rice,204.0,16.422,16.422
Rice,205.0,16.46166666666667,16.46166666666667
Rice,206.0,16.50133333333334,16.50133333333334
Rice,207.0,16.541,16.541
Rice,208.0,16.58066666666667,16.58066666666667
Rice,209.0,16.620333333333335,16.620333333333335
Rice,210.0,16.66,16.66
